RSS 
32760 /system/bin/surfaceflinger
24020 zygote
2296 /system/bin/drmserver
9768 /system/bin/mediaserver
608 /system/bin/dbus-daemon
1000 /system/bin/installd
972 /system/bin/keystore
448 /system/bin/atcmdserver
320 /system/bin/diagserver
356 /system/bin/filebackup
384 /system/bin/gpsatnewfilter
4 /system/xbin/athena
5496 /system/bin/glgps
4128 /system/xbin/shelld
97932 system_server
508 /system/bin/akmd8963
76512 com.android.systemui
66188 com.android.phone
36040 com.lbe.security.miui
27112 com.huawei.pmqos
26660 com.broadcom.bt.app.system
48804 com.xiaomi.xmsf
29916 com.duokan.airkan.phone
78360 com.miui.home
83972 android.process.acore
98836 com.android.settings
40496 com.lbe.security.miui:service
29728 com.android.smspush
45900 android.process.media
2064 sdcard
32224 com.miui.providers.weather
26116 com.android.dolbymobileaudioeffect
45148 com.tencent.mobileqq:MSF
432 /system/bin/dhcpcd
33396 com.tencent.tmsprovider
0 kworker/u:3
116292 com.tencent.mm
0 kworker/0:3
0 kworker/u:1
0 kworker/0:0
392 uuids_sys
41788 com.google.process.gapps
184004 com.android.browser
36892 com.miui.cloudservice
43160 com.netease.mobimail
18928 com.netease.mobimail
34296 com.android.fileexplorer:remote
54100 com.android.mms
30936 com.miui.voiceassist
36956 com.miui.weather2
0 kworker/u:0
23388 com.android.huawei.projectmenu
0 flush-179:96
0 kworker/u:2
0 kworker/0:1
23260 com.huawei.powersavingmode
0 kworker/u:4
0 kworker/u:5
30220 com.miui.providers.datahub
32316 com.huawei.android.wfdft:FTSserv
0 kworker/0:2
0 kworker/u:6
0 flush-0:18
0 irq/317-2-0070
30048 com.huawei.android.wfdft
0 migration/1
0 kworker/1:0
0 ksoftirqd/1
0 kworker/1:1
45076 com.xiaomi.market
31164 com.android.updater
328 /system/bin/sh
212 ps
25264 com.miui.backup
23716 com.miui.bugreport
31896 com.android.fileexplorer
1464 /system/bin/wpa_supplicant
27928 com.android.thememanager
32096 com.miui.notes
228 /sbin/adbd
64540 com.tencent.mobileqq
34072 com.miui.gallery
29820 com.miui.player
41916 com.tencent.mm:push
32820 com.huawei.android.wfdft:FTCserv
62708 com.google.android.inputmethod.pinyin
RSS 
320 /init
0 kthreadd
0 ksoftirqd/0
0 migration/0
0 cpuset
0 khelper
0 kdumplogd
